year,month,inflation
1913,1,NA
1913,2,NA
1913,3,NA
1913,4,NA
1913,5,NA
1913,6,NA
1913,7,NA
1913,8,NA
1913,9,NA
1913,10,NA
1913,11,NA
1913,12,NA
1914,1,0.020408163265306048
1914,2,0.010204081632653024
1914,3,0.010204081632653024
1914,4,0
1914,5,0.02061855670103104
1914,6,0.010204081632653024
1914,7,0.010101010101010065
1914,8,0.030303030303030193
1914,9,0.019999999999999928
1914,10,0.009999999999999964
1914,11,0.009900990099009866
1914,12,0.009999999999999964
1915,1,0.009999999999999964
1915,2,0.010101010101010065
1915,3,0
1915,4,0.020408163265306048
1915,5,0.02020202020202013
1915,6,0.02020202020202013
1915,7,0.009999999999999964
1915,8,-0.009803921568627416
1915,9,-0.009803921568627416
1915,10,0.009900990099009866
1915,11,0.009803921568627591
1915,12,0.01980198019801991
1916,1,0.029702970297029774
1916,2,0.040000000000000036
1916,3,0.060606060606060566
1916,4,0.05999999999999996
1916,5,0.059405940594059375
1916,6,0.06930693069306941
1916,7,0.06930693069306941
1916,8,0.07920792079207928
1916,9,0.09900990099009901
1916,10,0.1078431372549021
1916,11,0.11650485436893196
1916,12,0.1262135922330096
1917,1,0.12499999999999989
1917,2,0.1538461538461538
1917,3,0.14285714285714285
1917,4,0.18867924528301888
1917,5,0.1962616822429908
1917,6,0.20370370370370364
1917,7,0.18518518518518517
1917,8,0.19266055045871555
1917,9,0.1981981981981983
1917,10,0.19469026548672558
1917,11,0.17391304347826086
1917,12,0.18103448275862066
1918,1,0.19658119658119666
1918,2,0.17499999999999996
1918,3,0.16666666666666666
1918,4,0.12698412698412695
1918,5,0.13281249999999994
1918,6,0.13076923076923072
1918,7,0.17968749999999992
1918,8,0.18461538461538465
1918,9,0.18045112781954875
1918,10,0.18518518518518517
1918,11,0.20740740740740746
1918,12,0.20437956204379568
1919,1,0.17857142857142858
1919,2,0.14893617021276592
1919,3,0.17142857142857132
1919,4,0.17605633802816903
1919,5,0.16551724137931026
1919,6,0.1496598639455782
1919,7,0.15231788079470193
1919,8,0.1493506493506493
1919,9,0.1337579617834396
1919,10,0.1312500000000001
1919,11,0.13496932515337418
1919,12,0.14545454545454536
1920,1,0.16969696969696973
1920,2,0.20370370370370375
1920,3,0.20121951219512202
1920,4,0.2155688622754492
1920,5,0.21893491124260372
1920,6,0.2366863905325444
1920,7,0.19540229885057486
1920,8,0.14689265536723173
1920,9,0.12359550561797748
1920,10,0.09944751381215453
1920,11,0.0702702702702703
1920,12,0.026455026455026457
1921,1,-0.015544041450777238
1921,2,-0.05641025641025648
1921,3,-0.07106598984771567
1921,4,-0.10837438423645317
1921,5,-0.14077669902912632
1921,6,-0.15789473684210514
1921,7,-0.1490384615384616
1921,8,-0.1280788177339902
1921,9,-0.125
1921,10,-0.12060301507537682
1921,11,-0.12121212121212131
1921,12,-0.10824742268041226
1922,1,-0.11052631578947376
1922,2,-0.08152173913043478
1922,3,-0.08743169398907111
1922,4,-0.07734806629834265
1922,5,-0.05649717514124294
1922,6,-0.05113636363636375
1922,7,-0.050847457627118564
1922,8,-0.06214689265536712
1922,9,-0.051428571428571344
1922,10,-0.045714285714285756
1922,11,-0.03448275862068954
1922,12,-0.023121387283237118
1923,1,-0.0059171597633134836
1923,2,-0.0059171597633134836
1923,3,0.005988023952095894
1923,4,0.011976047904191574
1923,5,0.011976047904191574
1923,6,0.01796407185628747
1923,7,0.023809523809523725
1923,8,0.03012048192771084
1923,9,0.03614457831325288
1923,10,0.03592814371257494
1923,11,0.02976190476190476
1923,12,0.023668639053254566
1924,1,0.02976190476190476
1924,2,0.023809523809523725
1924,3,0.017857142857142898
1924,4,0.005917159763313694
1924,5,0.005917159763313694
1924,6,0
1924,7,-0.005813953488371969
1924,8,-0.005847953216374352
1924,9,-0.005813953488371969
1924,10,-0.005780346820809331
1924,11,-0.005780346820809331
1924,12,0
1925,1,0
1925,2,0
1925,3,0.011695906432748496
1925,4,0.0117647058823529
1925,5,0.017647058823529453
1925,6,0.029411764705882353
1925,7,0.03508771929824549
1925,8,0.04117647058823525
1925,9,0.03508771929824549
1925,10,0.029069767441860465
1925,11,0.046511627906976785
1925,12,0.03468208092485537
1926,1,0.03468208092485537
1926,2,0.04069767441860461
1926,3,0.028901734104046242
1926,4,0.04069767441860461
1926,5,0.028901734104046242
1926,6,0.011428571428571389
1926,7,-0.011299435028248548
1926,8,-0.016949152542372923
1926,9,-0.011299435028248548
1926,10,-0.005649717514124173
1926,11,-0.016666666666666705
1926,12,-0.01117318435754186
1927,1,-0.02234636871508372
1927,2,-0.02793296089385475
1927,3,-0.028089887640449437
1927,4,-0.03351955307262558
1927,5,-0.022471910112359668
1927,6,-0.005649717514124173
1927,7,-0.011428571428571389
1927,8,-0.011494252873563178
1927,9,-0.011428571428571389
1927,10,-0.011363636363636524
1927,11,-0.022598870056497095
1927,12,-0.022598870056497095
1928,1,-0.011428571428571389
1928,2,-0.017241379310344664
1928,3,-0.011560693641618455
1928,4,-0.011560693641618455
1928,5,-0.011494252873563178
1928,6,-0.028409090909090908
1928,7,-0.011560693641618455
1928,8,-0.005813953488371969
1928,9,0
1928,10,-0.011494252873563178
1928,11,-0.005780346820809331
1928,12,-0.011560693641618455
1929,1,-0.011560693641618455
1929,2,0
1929,3,-0.005847953216374352
1929,4,-0.011695906432748704
1929,5,-0.011627906976744146
1929,6,0
1929,7,0.011695906432748496
1929,8,0.011695906432748496
1929,9,0
1929,10,0.005813953488372176
1929,11,0.005813953488372176
1929,12,0.005847953216374144
1930,1,0
